epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
148,1719.49,1.09018,0.69973,0.99995,0.8277,0.80719,0.87748,0.48353,1.53299,0.80025,1.26383,0.000160142,0.000160142,0.000160142
149,1730.25,1.06009,0.69481,1.00222,0.80179,0.82059,0.87227,0.49169,1.57724,0.7722,1.29213,0.000157231,0.000157231,0.000157231
150,1741.51,1.07584,0.71373,1.00894,0.80975,0.8515,0.89175,0.49941,1.52689,0.80664,1.26319,0.000154321,0.000154321,0.000154321
151,1753.45,1.04317,0.68904,0.99952,0.8004,0.88405,0.88656,0.49014,1.59802,0.77092,1.31331,0.00015141,0.00015141,0.00015141
152,1765.67,1.07576,0.71592,1.00178,0.82578,0.81561,0.86994,0.48079,1.60321,0.78094,1.32757,0.000148499,0.000148499,0.000148499
153,1777.58,1.04277,0.69295,0.99573,0.82201,0.80451,0.8591,0.46443,1.63487,0.78457,1.33086,0.000145589,0.000145589,0.000145589
154,1789.87,1.05329,0.70013,1.00387,0.86108,0.79296,0.88176,0.4874,1.60525,0.77593,1.31408,0.000142678,0.000142678,0.000142678
155,1800.81,1.06141,0.68722,0.99262,0.77716,0.82777,0.85946,0.46934,1.61753,0.7925,1.30171,0.000139768,0.000139768,0.000139768
156,1812.31,1.05247,0.69893,0.98592,0.79907,0.78283,0.85775,0.48237,1.57391,0.80252,1.31448,0.000136857,0.000136857,0.000136857
157,1824.19,1.05523,0.69172,0.9938,0.76906,0.85707,0.86351,0.47275,1.57576,0.80213,1.28775,0.000133946,0.000133946,0.000133946
158,1836.04,1.06644,0.68279,1.00194,0.83397,0.79385,0.87054,0.4878,1.59161,0.79239,1.29471,0.000131036,0.000131036,0.000131036
159,1848.12,1.02217,0.68027,0.97961,0.82604,0.81831,0.86099,0.46257,1.60326,0.81268,1.30245,0.000128125,0.000128125,0.000128125
160,1859.39,1.04665,0.68347,0.9878,0.84284,0.80441,0.8664,0.48261,1.54874,0.79747,1.28808,0.000125215,0.000125215,0.000125215
161,1870.22,1.06288,0.69341,0.99873,0.83174,0.80883,0.87156,0.48683,1.60213,0.78551,1.32925,0.000122304,0.000122304,0.000122304
162,1882.28,1.01333,0.67695,0.99288,0.83362,0.80057,0.86581,0.47098,1.59728,0.799,1.30152,0.000119393,0.000119393,0.000119393
163,1894.44,1.02639,0.67279,0.99235,0.81625,0.81478,0.87111,0.49886,1.57454,0.77818,1.31487,0.000116483,0.000116483,0.000116483
164,1906.34,1.02651,0.67544,0.9891,0.80128,0.80012,0.86637,0.47497,1.62113,0.79318,1.34054,0.000113572,0.000113572,0.000113572
165,1918.14,1.02157,0.68985,1.00034,0.78795,0.83996,0.86307,0.47947,1.54649,0.79376,1.27658,0.000110662,0.000110662,0.000110662
166,1928.8,0.9924,0.65625,0.98169,0.78893,0.81869,0.85717,0.47593,1.58509,0.80546,1.30976,0.000107751,0.000107751,0.000107751
167,1940.18,1.0178,0.6699,0.98649,0.79025,0.84474,0.87419,0.49205,1.54937,0.77003,1.2861,0.00010484,0.00010484,0.00010484
168,1952.08,1.00188,0.65854,0.97991,0.83452,0.79939,0.86841,0.48767,1.58887,0.78052,1.32043,0.00010193,0.00010193,0.00010193
169,1963.98,1.03368,0.68032,0.98631,0.84404,0.81324,0.88089,0.49201,1.5696,0.77526,1.29066,9.90192e-05,9.90192e-05,9.90192e-05
170,1975.89,1.02611,0.66012,0.98257,0.7959,0.83191,0.87782,0.49731,1.53692,0.77111,1.27375,9.61086e-05,9.61086e-05,9.61086e-05
171,1987.6,1.01544,0.67652,0.98307,0.80107,0.83385,0.8737,0.4988,1.56364,0.7734,1.30925,9.3198e-05,9.3198e-05,9.3198e-05
172,1998.28,1.01412,0.66782,0.99675,0.81253,0.83223,0.87093,0.49017,1.58679,0.76918,1.30862,9.02874e-05,9.02874e-05,9.02874e-05
173,2010.15,1.02985,0.66959,0.97014,0.82017,0.81478,0.85799,0.47785,1.61241,0.78133,1.34942,8.73768e-05,8.73768e-05,8.73768e-05
174,2022.13,1.01614,0.64934,0.96859,0.79695,0.82849,0.85611,0.48111,1.5678,0.78469,1.32209,8.44662e-05,8.44662e-05,8.44662e-05
175,2034.04,1.00295,0.65872,0.97151,0.77128,0.86502,0.87097,0.4736,1.58163,0.76719,1.30604,8.15556e-05,8.15556e-05,8.15556e-05
176,2046.02,1.00016,0.64775,0.9773,0.81143,0.82066,0.87086,0.47391,1.5961,0.78228,1.32771,7.8645e-05,7.8645e-05,7.8645e-05
177,2057.82,0.99332,0.64704,0.975,0.78529,0.84617,0.86556,0.48062,1.58953,0.75473,1.30994,7.57344e-05,7.57344e-05,7.57344e-05
178,2068.55,1.00966,0.64184,0.96777,0.76285,0.8654,0.86803,0.47971,1.59182,0.75741,1.31733,7.28238e-05,7.28238e-05,7.28238e-05
179,2080.48,0.97964,0.64962,0.98646,0.85067,0.81259,0.87301,0.48841,1.59171,0.75174,1.31335,6.99132e-05,6.99132e-05,6.99132e-05
